 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
49.9785,20.9543,44.2966,20.8408,44.0866,21.9022,49.7493,22.1459,1.17603373,19.79114723,12.36761711,10.01833309,5.569719036,4.073687149,2.003462655,45,1.65048
50.3881,20.9379,44.7062,20.8233,44.4948,21.8932,50.1576,22.1408,1.859164387,3.151867177,19.99992638,14.52177212,7.512758202,5.193763611,2.760748122,45,1.789115
50.7976,20.9214,45.1158,20.8056,44.9031,21.884,50.5658,22.1358,1.043943323,8.417289733,19.33864349,12.36086639,6.576600763,4.515985192,2.74667111,45,1.98143
51.2071,20.9044,45.5253,20.7878,45.3112,21.8749,50.974,22.1306,1.527925213,19.87184839,12.3331899,9.826074621,5.30676654,3.730045067,2.404150271,45,1.982134
51.6165,20.8871,45.9347,20.7695,45.7193,21.8655,51.3822,22.1255,2.395368323,19.79793604,11.95159846,9.783771779,5.00027387,3.584428107,2.48662342,45,2.07473
52.0259,20.8695,46.3441,20.7511,46.1273,21.8562,51.7903,22.1202,1.375065866,19.81120981,14.07790968,8.915997226,5.000032774,3.477240001,2.342544639,45,2.257942
52.4352,20.8516,46.7535,20.7321,46.5355,21.8465,52.1983,22.1149,1.393032406,0.505739994,19.99999824,17.16052223,6.967954283,5.200775895,3.77197696,45,2.365018
52.8445,20.8331,47.1627,20.7131,46.9433,21.8371,52.6064,22.1095,1.674757059,0.933559882,19.99967847,16.71964286,6.556381521,5.151569341,3.964410864,45,2.439732
53.2536,20.8146,47.5719,20.6937,47.3513,21.8274,53.0143,22.1042,1.538525742,10.28693719,19.999623,11.11578345,5.000895894,3.912427844,3.145806881,45,2.557726
53.6627,20.7957,47.981,20.6738,47.7591,21.8175,53.4221,22.0989,1.00006419,17.21565622,18.78392056,7.193635523,5.000002287,3.24238401,2.564337216,45,2.626438
54.0716,20.7764,48.3901,20.6538,48.1669,21.8076,53.8299,22.0935,1.000001011,16.98509921,19.47254443,6.759025554,5.000000025,3.263993334,2.519336441,45,2.672989
54.4806,20.7565,48.7992,20.6334,48.5747,21.7975,54.2377,22.088,1.343282914,15.35749866,14.05376773,12.71635567,5.001272074,3.814721762,2.713101185,45,2.452697
54.8896,20.7362,49.2081,20.6127,48.9824,21.7875,54.6456,22.0824,1.486683172,13.64379276,19.99996657,8.659007994,5.000012219,3.618295254,2.59224203,45,2.451247
55.2986,20.7153,49.617,20.5916,49.3901,21.7772,55.0534,22.0765,1.902214456,0.841282498,19.99997974,15.83858414,7.056343167,5.772395022,3.589200976,45,2.338301
55.7072,20.6946,50.0258,20.5702,49.7976,21.767,55.4609,22.0711,1.79054053,0.623096242,19.99999999,15.84301274,7.0686275,6.139702034,3.535020968,45,2.162265
56.116,20.673,50.4345,20.5484,50.2051,21.7565,55.8686,22.0654,1.826670994,6.435975224,19.9999993,12.38104432,5.908737035,5.761633031,2.685940095,45,2.173074
56.5246,20.6512,50.8431,20.5262,50.6126,21.7459,56.276,22.0599,2.804918274,2.84224914,19.99999909,13.27345288,6.77875078,6.431918914,2.868710917,45,2.1984
56.9332,20.6286,51.2518,20.5036,51.0201,21.7352,56.6836,22.054,3.328790451,19.94249283,9.675353764,10.50742406,5.000452226,4.58919744,1.95628923,45,1.987738
57.3417,20.6058,51.6603,20.4805,51.4274,21.7243,57.091,22.0482,1.000042456,15.68548586,19.23695025,7.31345229,5.000005132,4.447925541,2.316138472,45,2.065757
57.7502,20.5823,52.0688,20.4569,51.8348,21.7132,57.4984,22.0423,1.12489999,19.70036954,16.29459215,6.991114841,5.000004221,3.966242873,1.922776378,45,1.878159
58.1585,20.5584,52.4772,20.433,52.242,21.7021,57.9057,22.0364,2.199622551,6.500556052,19.99926749,11.98102007,5.990610999,5.400884934,2.928037903,45,1.703888
58.5669,20.5335,52.8855,20.4087,52.6492,21.6909,58.3131,22.0302,2.558055751,11.78243389,19.99999052,9.034811786,5.000013595,4.314528259,2.310166192,45,1.719303
